City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
141,Barcelos,PT,41.5388,-8.6151,62.85,66,29,12.68,scattered clouds
142,Westport,US,41.1415,-73.3579,72.28,39,0,9.22,clear sky
143,Beira,MZ,-19.8436,34.8389,78.89,73,20,9.22,few clouds
144,Lorengau,PG,-2.0226,147.2712,81.25,76,8,4.29,clear sky
145,San Quintin,MX,30.4833,-115.95,64.33,70,29,8.23,scattered clouds
146,Saint Anthony,US,45.0205,-93.218,47.35,89,100,12.66,overcast clouds
147,Dikson,RU,73.5069,80.5464,9.79,98,57,10.67,broken clouds
148,Kieta,PG,-6.2167,155.6333,78.33,85,94,2.35,overcast clouds
149,Abnub,EG,27.2696,31.1511,85.82,15,2,7.87,clear sky
150,Tiksi,RU,71.6872,128.8694,16.74,91,88,13.89,overcast clouds
151,Cabo San Lucas,MX,22.8909,-109.9124,83.5,57,84,3.0,broken clouds
152,Castro,BR,-24.7911,-50.0119,72.93,65,19,8.88,few clouds
153,Namatanai,PG,-3.6667,152.4333,78.93,81,59,2.01,broken clouds
154,Meulaboh,ID,4.1363,96.1285,77.68,87,100,3.31,overcast clouds
155,Plettenberg Bay,ZA,-34.0527,23.3716,58.59,85,2,0.83,clear sky
156,Lloydminster,CA,53.2835,-110.0016,46.62,57,100,14.97,overcast clouds
157,Cayenne,GF,4.9333,-52.3333,86.04,42,0,17.27,clear sky
158,Mabaruma,GY,8.2,-59.7833,87.08,53,85,8.34,overcast clouds
159,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44,broken clouds
160,Hami,CN,42.8,93.45,65.57,10,6,7.02,clear sky
161,Puerto Leguizamo,CO,-0.1934,-74.7819,88.68,50,60,1.41,broken clouds
162,Port Elizabeth,ZA,-33.918,25.5701,64.31,85,20,12.66,few clouds
163,Maua,BR,-23.6678,-46.4614,85.06,47,43,10.45,scattered clouds
164,Byron Bay,AU,-28.65,153.6167,64.29,79,95,12.93,overcast clouds
165,Mount Gambier,AU,-37.8333,140.7667,58.91,94,100,9.22,overcast clouds
166,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,92.34,37,39,6.22,scattered clouds
167,Ishigaki,JP,24.3448,124.1572,68.13,94,100,11.5,light rain
168,Salcininkai,LT,54.3,25.3833,53.69,68,100,3.85,overcast clouds
169,Grand Forks,US,47.9417,-97.4337,39.13,87,100,26.46,overcast clouds
170,Iskateley,RU,67.6803,53.1512,18.82,92,99,8.97,overcast clouds
171,Port Lincoln,AU,-34.7333,135.8667,59.07,89,0,8.23,clear sky
172,Oksfjord,NO,70.2396,22.3479,37.99,85,100,6.11,overcast clouds
173,Kayerkan,RU,69.3497,87.7602,19.53,85,99,11.74,overcast clouds
174,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
175,Bilma,NE,18.6853,12.9164,104.02,10,60,5.84,broken clouds
176,Yulara,AU,-25.2406,130.9889,60.64,63,40,8.05,scattered clouds
177,Turukhansk,RU,65.8167,87.9833,29.77,82,100,16.93,overcast clouds
178,Yeniseysk,RU,58.4497,92.1703,35.29,80,100,8.57,overcast clouds
179,Inuvik,CA,68.3499,-133.7218,43.66,52,0,8.05,clear sky
180,Leshukonskoye,RU,64.8989,45.7622,24.94,90,52,3.69,broken clouds
181,Guerrero Negro,MX,27.9769,-114.0611,66.27,62,8,10.67,clear sky
182,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,65,0,16.11,clear sky
183,Vardo,NO,70.3705,31.1107,21.18,79,40,6.91,scattered clouds
184,Dingle,PH,10.9995,122.6711,77.2,81,97,5.73,overcast clouds
185,Del Rio,US,29.3627,-100.8968,77.02,81,100,17.27,overcast clouds
186,Tilichiki,RU,60.4667,166.1,10.29,96,46,7.61,scattered clouds
187,Inverell,AU,-29.7833,151.1167,54.66,92,1,4.97,clear sky
188,Nacala,MZ,-14.5428,40.6728,74.77,78,8,9.53,clear sky
189,Sobolevo,RU,54.4299,31.8996,45.82,71,96,4.56,overcast clouds
190,Karratha,AU,-20.7377,116.8463,82.17,50,98,7.49,overcast clouds
191,Margate,GB,51.3813,1.3862,55.69,67,100,3.0,overcast clouds
192,Baculin,PH,7.4525,126.5842,77.85,88,98,6.64,overcast clouds
193,Muana,BR,-1.5283,-49.2167,78.73,91,97,3.8,overcast clouds
194,Slavonski Brod,HR,45.1603,18.0156,60.53,79,69,10.11,broken clouds
195,Riyadh,SA,24.6877,46.7219,91.54,12,0,11.1,clear sky
196,Yarkovo,RU,57.4028,67.0786,41.23,57,91,8.14,overcast clouds
197,Imari,JP,33.2667,129.8833,58.78,66,100,2.46,overcast clouds
198,Lagoa,PT,39.05,-27.9833,61.97,76,24,1.74,few clouds
199,Bose,IT,45.4612,8.0137,67.84,45,5,4.38,clear sky
200,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
201,Constitucion,CL,-35.3333,-72.4167,59.27,58,1,13.31,clear sky
202,Kununurra,AU,-15.7667,128.7333,85.98,35,9,10.36,clear sky
203,Kruisfontein,ZA,-34.0033,24.7314,58.89,91,3,3.98,clear sky
204,Xichang,CN,27.8964,102.2634,48.4,84,100,4.25,overcast clouds
205,Sao Filipe,CV,14.8961,-24.4956,75.7,71,0,10.02,clear sky
206,Sayyan,YE,15.1718,44.3244,68.54,32,79,11.81,broken clouds
207,Guatire,VE,10.4762,-66.5427,91.04,42,24,5.44,few clouds
208,Asfi,MA,32.2994,-9.2372,68.02,66,2,17.31,clear sky
209,General Pico,AR,-35.6566,-63.7568,65.79,30,0,10.27,clear sky
210,Pokhara,NP,28.2333,83.9833,68.22,67,100,5.19,overcast clouds
211,Gamba,GA,-2.65,10.0,79.03,86,93,7.47,moderate rain
212,Denpasar,ID,-8.65,115.2167,83.86,94,20,9.22,few clouds
213,Norman Wells,CA,65.282,-126.8329,44.64,49,40,19.57,scattered clouds
214,Marsh Harbour,BS,26.5412,-77.0636,75.52,73,40,17.22,light rain
215,Thinadhoo,MV,0.5333,72.9333,85.96,70,66,16.22,broken clouds
216,Gat,IL,31.61,34.7642,67.41,100,2,4.03,clear sky
217,Nassjo,SE,57.6531,14.6968,52.72,35,78,2.35,broken clouds
218,Pedasi,PA,7.5333,-80.0333,82.62,75,98,3.89,overcast clouds
219,Bethel,US,41.3712,-73.414,70.18,35,0,4.61,clear sky
220,Biak,ID,-0.9131,122.8766,76.73,87,80,5.39,broken clouds
221,Ihosy,MG,-22.4,46.1167,62.71,77,0,3.76,clear sky
222,Krasnovishersk,RU,60.4078,57.082,24.31,96,93,2.19,overcast clouds
223,Bagan,RU,54.1001,77.6646,57.87,63,100,10.38,overcast clouds
224,Severo-Kurilsk,RU,50.6789,156.125,33.26,86,75,11.16,broken clouds
225,Viedma,AR,-40.8135,-62.9967,57.42,49,86,5.97,overcast clouds
226,Uchiza,PE,-8.4592,-76.4633,84.87,57,46,3.11,scattered clouds
227,Geraldton,AU,-28.7667,114.6,55.81,76,0,6.91,clear sky
228,Fairbanks,US,64.8378,-147.7164,47.25,54,0,10.36,clear sky
229,Porto Seguro,BR,-16.4497,-39.0647,82.92,69,40,6.91,scattered clouds
230,Aitape,PG,-3.1374,142.3475,77.97,88,84,4.74,light rain
231,Camalu,MX,30.85,-116.0667,64.81,69,9,7.36,clear sky
232,Mareeba,AU,-17.0,145.4333,68.72,94,83,1.59,broken clouds
233,Nome,US,64.5011,-165.4064,37.47,70,0,19.57,clear sky
234,Flin Flon,CA,54.7682,-101.865,31.84,80,100,10.36,mist
235,Kvarkeno,RU,52.0833,59.725,51.69,54,83,13.91,broken clouds
236,Hithadhoo,MV,-0.6,73.0833,85.84,71,76,15.43,heavy intensity rain
237,Adre,TD,13.4667,22.2,93.87,7,100,5.39,overcast clouds
238,Provideniya,RU,64.3833,-173.3,23.86,76,88,11.7,overcast clouds
239,Almeirim,BR,-1.5233,-52.5817,82.47,79,66,4.63,broken clouds
240,Uige,AO,-7.6087,15.0613,70.05,77,96,3.38,overcast clouds
241,Berlevag,NO,70.8578,29.0864,28.4,67,94,3.74,overcast clouds
242,Henties Bay,NA,-22.116,14.2845,62.24,76,2,4.92,clear sky
243,Krasnoselkup,RU,65.7,82.4667,28.45,82,99,18.9,overcast clouds
244,Iqaluit,CA,63.7506,-68.5145,26.33,73,75,5.75,broken clouds
245,Lensk,RU,60.7253,114.9278,28.94,95,100,9.22,light snow
246,Alexandria,EG,31.2156,29.9553,67.48,69,20,7.78,few clouds
247,Pisco,PE,-13.7,-76.2167,69.03,77,0,8.05,clear sky
248,Beloha,MG,-25.1667,45.05,68.18,84,10,4.83,clear sky
249,Hobyo,SO,5.3505,48.5268,85.87,71,100,16.46,light rain
250,Sao Jose Do Calcado,BR,-21.0253,-41.6544,82.49,54,7,1.5,clear sky
